,plotRatio,transactionDate,floorPrice,time,price
0,4.0,2014.6408675799087,1680,2018.157305936073,8300
1,2.0,2014.4045662100457,1200,2017.777397260274,6800
2,2.0,2014.4045662100457,1200,2017.6776255707764,7000
3,2.4,2015.924885844749,6350,2017.1940639269408,14000
4,2.4,2015.924885844749,6200,2017.1940639269408,14000
5,2.6,2015.7461187214612,6060,2017.771917808219,17500
6,2.7,2015.9045662100457,5900,2017.771917808219,17500
7,1.4,2017.2664383561644,4208,2018.338812785388,9850
8,1.75,2016.3990867579907,1320,2017.9961187214612,11000
9,1.75,2016.3990867579907,1320,2017.9961187214612,11000
10,2.6,2015.7461187214612,6060,2017.5082191780823,16000
11,2.7,2015.9045662100457,5900,2017.5082191780823,16000
12,3.0,2014.151826484018,1526,2017.3333333333333,6800
13,2.6,2015.7461187214612,6060,2017.5082191780823,16000
14,2.7,2015.9045662100457,5900,2017.5082191780823,16000
15,3.0,2014.151826484018,1526,2017.3333333333333,6800
16,2.6,2015.7461187214612,6060,2018.25,15000
17,2.7,2015.9045662100457,5900,2018.25,15000
18,2.0,2014.1381278538813,3560,2017.5,11000
19,2.6,2015.0191780821917,5100,2017.4166666666667,9500
20,2.6,2014.0575342465754,250,2017.8333333333333,5500
21,2.0,2014.4045662100457,1200,2017.4166666666667,5300
22,2.4,2015.924885844749,6350,2017.3333333333333,14000
23,2.4,2015.924885844749,6200,2017.3333333333333,14000
24,1.6,2013.3744292237443,3477,2017.3333333333333,11000
25,1.7,2014.129908675799,4520,2017.3333333333333,7800
26,3.0,2014.151826484018,1526,2018.25,10100
27,1.8,2013.8075342465754,4050,2017.3333333333333,8600
28,1.8,2013.8075342465754,4050,2017.3333333333333,6600
29,2.0,2013.151826484018,413,2017.6666666666667,6400
30,5.7,2013.9988584474886,6250,2017.3333333333333,18000
31,4.0,2014.6408675799087,1680,2017.75,7800
32,1.75,2016.3990867579907,1320,2018.0,10500
33,2.25,2014.1490867579907,3430,2017.5,10700
34,1.75,2016.3990867579907,1320,2018.2582191780823,30000
35,2.5,2014.151826484018,450,2016.7022831050228,3800
36,3.0,2014.151826484018,1526,2017.6995433789955,7700
37,1.4,2017.2664383561644,4208,2018.3130136986301,9500
38,1.75,2016.3990867579907,1320,2017.602511415525,7600
39,1.75,2016.3990867579907,1320,2017.771917808219,10500
40,1.75,2016.3990867579907,1320,2018.1666666666667,25000
41,2.5,2014.151826484018,450,2016.4550228310502,4200
42,2.5,2014.151826484018,450,2017.6107305936073,5300
43,3.0,2014.151826484018,1526,2017.4155251141551,6500
44,3.0,2014.151826484018,1526,2018.3184931506848,11500
45,2.6,2014.0575342465754,250,2016.8333333333333,4100
46,3.0,2014.151826484018,1526,2017.3333333333333,5600
47,2.0,2013.151826484018,413,2017.3333333333333,6500
48,4.0,2014.6408675799087,1680,2017.3333333333333,5700
49,1.75,2016.3990867579907,1320,2017.3333333333333,7200
50,1.75,2016.3990867579907,1320,2017.9166666666667,7500
51,2.0,2013.151826484018,413,2017.6940639269408,6500
52,2.0,2014.1381278538813,3560,2017.6666666666667,11000
53,2.0,2014.1381278538813,3560,2017.8333333333333,11000
54,2.0,2014.1381278538813,3560,2018.0,11000
55,2.0,2014.1381278538813,3560,2018.0833333333333,11000
56,2.0,2014.1381278538813,3560,2018.1666666666667,11000
57,2.0,2014.1381278538813,3560,2018.25,11000
58,2.0,2014.1381278538813,3560,2017.3333333333333,11000
59,2.0,2014.1381278538813,3560,2017.3333333333333,11000
60,2.6,2015.0191780821917,5100,2017.5,9500
61,2.6,2015.0191780821917,5100,2017.5833333333333,9500
62,2.6,2015.0191780821917,5100,2017.6666666666667,9500
63,2.6,2015.0191780821917,5100,2017.75,9500
64,2.6,2015.0191780821917,5100,2017.8333333333333,9500
65,2.6,2015.0191780821917,5100,2017.9166666666667,9500
66,2.6,2015.0191780821917,5100,2018.0833333333333,9500
67,2.6,2015.0191780821917,5100,2018.25,9500
68,2.6,2015.0191780821917,5100,2018.0,9500
69,2.6,2015.0191780821917,5100,2017.3333333333333,9500
70,2.6,2015.0191780821917,5100,2018.25,9500
71,2.25,2014.1490867579907,3430,2017.6666666666667,10700
72,2.25,2014.1490867579907,3430,2017.8333333333333,10700
73,2.25,2014.1490867579907,3430,2018.0,10700
74,2.25,2014.1490867579907,3430,2018.1666666666667,10700
75,2.25,2014.1490867579907,3430,2017.3333333333333,10700
76,2.0,2014.4045662100457,1200,2017.5,5300
77,2.0,2014.4045662100457,1200,2017.5833333333333,5300
78,2.0,2014.4045662100457,1200,2017.5833333333333,5300
79,2.0,2014.4045662100457,1200,2017.8607305936073,6800
80,2.0,2014.4045662100457,1200,2017.9440639269408,6800
81,2.0,2014.4045662100457,1200,2018.027397260274,6800
82,2.0,2014.4045662100457,1200,2018.1107305936073,6800
83,2.0,2014.4045662100457,1200,2018.1940639269408,6800
84,2.0,2014.4045662100457,1200,2018.277397260274,6800
85,2.0,2014.4045662100457,1200,2017.6940639269408,6800
86,2.0,2013.9632420091325,3425,2018.271917808219,35000
87,2.0,2012.8552511415523,1700,2017.419406392694,8800
88,2.0,2012.8552511415523,1700,2017.6189497716894,9400
89,2.0,2012.8552511415523,1700,2017.535616438356,9000
90,2.3,2015.0794520547945,458,2017.5739726027398,4300
91,1.75,2014.2746575342467,1961,2017.75,4300
92,2.0,2012.6995433789955,1600,2017.866210045662,10000
93,2.0,2016.9933789954339,8950,2018.2296803652969,18000
94,2.1,2012.2022831050228,1070,2018.2993150684931,24600
95,2.4,2012.8497716894976,1670,2015.4385844748858,7300
